split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
lopo__seed-42__fold-25,lopo,42,25,xgb_physics_paper_bagging,0.5715693235397339,0.1539313644170761,0.6648222804069519,0.6648222804069519
lopo__seed-42__fold-26,lopo,42,26,xgb_physics_paper_bagging,0.48601946234703064,0.3218616843223572,0.6770058274269104,0.6770058274269104
lopo__seed-42__fold-27,lopo,42,27,xgb_physics_paper_bagging,0.9121154546737671,0.009154143743216991,0.9121154546737671,0.9121154546737671
lopo__seed-42__fold-28,lopo,42,28,xgb_physics_paper_bagging,0.6926733255386353,0.4076971113681793,0.6926733255386353,0.6926733255386353
lopo__seed-42__fold-29,lopo,42,29,xgb_physics_paper_bagging,0.6462394595146179,0.13721473515033722,0.7951090931892395,0.7951090931892395
lopo__seed-42__fold-30,lopo,42,30,xgb_physics_paper_bagging,0.6544981002807617,0.3276612162590027,0.6554464101791382,0.6554464101791382
lopo__seed-42__fold-31,lopo,42,31,xgb_physics_paper_bagging,0.590175211429596,0.013934539631009102,0.8916224241256714,0.8916224241256714
lopo__seed-42__fold-32,lopo,42,32,xgb_physics_paper_bagging,0.5626319050788879,0.4090409278869629,0.5657280683517456,0.5657280683517456
lopo__seed-42__fold-33,lopo,42,33,xgb_physics_paper_bagging,0.6335262656211853,0.275800883769989,0.6704796552658081,0.6704796552658081
lopo__seed-42__fold-34,lopo,42,34,xgb_physics_paper_bagging,0.5320819020271301,0.2649889886379242,0.5922890305519104,0.5922890305519104
lopo__seed-42__fold-35,lopo,42,35,xgb_physics_paper_bagging,0.9026193618774414,0.07919150590896606,0.9026193618774414,0.9026193618774414
lopo__seed-42__fold-36,lopo,42,36,xgb_physics_paper_bagging,0.5613335967063904,0.027903761714696884,0.7595534324645996,0.7595534324645996
lopo__seed-42__fold-37,lopo,42,37,xgb_physics_paper_bagging,0.7936267852783203,0.006460593547672033,0.9682741165161133,0.9682741165161133
lopo__seed-42__fold-38,lopo,42,38,xgb_physics_paper_bagging,0.5701099634170532,0.20625703036785126,0.7647730708122253,0.7647730708122253
lopo__seed-42__fold-39,lopo,42,39,xgb_physics_paper_bagging,0.6942304968833923,0.0003728230658452958,0.921686053276062,0.921686053276062
lopo__seed-42__fold-40,lopo,42,40,xgb_physics_paper_bagging,0.5579646229743958,0.14256803691387177,0.5989812612533569,0.5989812612533569
lopo__seed-42__fold-41,lopo,42,41,xgb_physics_paper_bagging,0.676795244216919,0.2382744997739792,0.676795244216919,0.676795244216919
lopo__seed-42__fold-42,lopo,42,42,xgb_physics_paper_bagging,0.8212917447090149,0.2509464621543884,0.8212917447090149,0.8212917447090149
lopo__seed-42__fold-43,lopo,42,43,xgb_physics_paper_bagging,0.5652545690536499,0.12023276090621948,0.6857072710990906,0.6857072710990906
lopo__seed-42__fold-44,lopo,42,44,xgb_physics_paper_bagging,0.6067699193954468,0.14416950941085815,0.6679891347885132,0.6679891347885132
lopo__seed-42__fold-45,lopo,42,45,xgb_physics_paper_bagging,0.5203340649604797,0.17773392796516418,0.5876196622848511,0.5876196622848511
lopo__seed-42__fold-46,lopo,42,46,xgb_physics_paper_bagging,0.5712366700172424,0.0729619711637497,0.6154764890670776,0.6154764890670776
lopo__seed-42__fold-47,lopo,42,47,xgb_physics_paper_bagging,0.6874260306358337,0.09480594843626022,0.6906430721282959,0.6906430721282959
lopo__seed-42__fold-48,lopo,42,48,xgb_physics_paper_bagging,0.6579651236534119,0.22260470688343048,0.6579651236534119,0.6579651236534119
lopo__seed-42__fold-49,lopo,42,49,xgb_physics_paper_bagging,0.8626240491867065,0.029851729050278664,0.8640036582946777,0.8640036582946777
lopo__seed-42__fold-50,lopo,42,50,xgb_physics_paper_bagging,0.6014100909233093,0.23328013718128204,0.687768280506134,0.687768280506134
lopo__seed-42__fold-51,lopo,42,51,xgb_physics_paper_bagging,0.708525538444519,0.3018306791782379,0.708525538444519,0.708525538444519
lopo__seed-42__fold-52,lopo,42,52,xgb_physics_paper_bagging,0.8993105888366699,0.23454216122627258,0.9522346258163452,0.9522346258163452
lopo__seed-42__fold-53,lopo,42,53,xgb_physics_paper_bagging,0.9569718241691589,0.0019013682613149285,0.9569718241691589,0.9569718241691589
lopo__seed-42__fold-54,lopo,42,54,xgb_physics_paper_bagging,0.538145899772644,0.23313307762145996,0.5479961633682251,0.5479961633682251
lopo__seed-42__fold-55,lopo,42,55,xgb_physics_paper_bagging,0.671518862247467,0.05018653720617294,0.671518862247467,0.671518862247467
lopo__seed-42__fold-56,lopo,42,56,xgb_physics_paper_bagging,0.6138705015182495,0.16769519448280334,0.6428055167198181,0.6428055167198181
lopo__seed-42__fold-57,lopo,42,57,xgb_physics_paper_bagging,0.7862923741340637,0.21812157332897186,0.7862923741340637,0.7862923741340637
lopo__seed-42__fold-58,lopo,42,58,xgb_physics_paper_bagging,0.6319886445999146,0.1461295336484909,0.6319886445999146,0.6319886445999146
lopo__seed-42__fold-59,lopo,42,59,xgb_physics_paper_bagging,0.5383299589157104,0.12083214521408081,0.7061291933059692,0.7061291933059692
lopo__seed-42__fold-60,lopo,42,60,xgb_physics_paper_bagging,0.771490752696991,0.30288422107696533,0.771490752696991,0.771490752696991
lopo__seed-42__fold-61,lopo,42,61,xgb_physics_paper_bagging,0.5142430067062378,0.0967237651348114,0.6026259660720825,0.6026259660720825
lopo__seed-42__fold-62,lopo,42,62,xgb_physics_paper_bagging,0.7376177906990051,0.09460800141096115,0.7376177906990051,0.7376177906990051
lopo__seed-42__fold-63,lopo,42,63,xgb_physics_paper_bagging,0.5067890286445618,0.292414128780365,0.6470719575881958,0.6470719575881958
lopo__seed-42__fold-64,lopo,42,64,xgb_physics_paper_bagging,0.7349902987480164,0.2582395374774933,0.7349902987480164,0.7349902987480164
lopo__seed-42__fold-65,lopo,42,65,xgb_physics_paper_bagging,0.6760490536689758,0.26347389817237854,0.7078537344932556,0.7078537344932556
lopo__seed-42__fold-66,lopo,42,66,xgb_physics_paper_bagging,0.4846982955932617,0.01630847342312336,0.9827771186828613,0.9827771186828613
lopo__seed-42__fold-67,lopo,42,67,xgb_physics_paper_bagging,0.9748685956001282,0.03480013832449913,0.9678061604499817,0.9678061604499817
lopo__seed-42__fold-68,lopo,42,68,xgb_physics_paper_bagging,0.7646486163139343,0.31963860988616943,0.7646486163139343,0.7646486163139343
